director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Lee Tamahori,Mem Ferda,Ludivine Sagnier,Ludivine Sagnier,Biography Drama Thriller,the devil's double
unknown,Nicole 'Snooki' Polizzi,Paul 'Pauly D' DelVecchio,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,"gone, baby, gone            "
Britt Allcroft,Mara Wilson,Peter Fonda,Peter Fonda,Adventure Comedy Drama Family Fantasy,thomas and the magic railroad
Breck Eisner,Radha Mitchell,John Aylward,John Aylward,Horror Thriller,the crazies
Hayao Miyazaki,Bunta Sugawara,Miyu Irino,Miyu Irino,Adventure Animation Family Fantasy,spirited away
Alan Yuen,Andy Lau,Terence Yin,Terence Yin,Action Crime Thriller,firestorm
Roger Donaldson,Liam Neeson,Laurence Olivier,Laurence Olivier,Action Adventure Drama History Romance,the bounty
Brian Percival,Emily Watson,Roger Allam,Roger Allam,Drama War,the book thief
Sean Anders,Katrina Bowden,Alice Greczyn,Alice Greczyn,Adventure Comedy Romance,sex drive
Anand Tucker,Adam Scott,Dominique McElligott,Dominique McElligott,Comedy Romance,leap year
Anthony Mann,James Mason,Stephen Boyd,Stephen Boyd,Drama History War,the fall of the roman empire
Michael Dowse,Topher Grace,Dan Fogler,Dan Fogler,Comedy Drama Romance,take me home tonight
Daniel Barnz,Holly Hunter,Dante Brown,Dante Brown,Drama,won't back down
Emile Ardolino,Darci Kistler,Margaret Tracey,Margaret Tracey,Family Fantasy Music,the nutcracker
Robert Altman,Steve Buscemi,Miranda Richardson,Miranda Richardson,Crime Drama Music Thriller,kansas city
James Schamus,Logan Lerman,Tracy Letts,Tracy Letts,Drama,indignation
Andrew Douglas,Jimmy Bennett,Ryan Reynolds,Ryan Reynolds,Drama Horror Mystery Thriller,the amityville horror
Spike Jonze,Nicolas Cage,Roger Willie,Roger Willie,Comedy Drama,adaptation.
George A. Romero,Tony Nappo,Pedro Miguel Arce,Pedro Miguel Arce,Horror,land of the dead
Danny Pang,Louis Koo,Ching Wan Lau,Ching Wan Lau,Action,out of inferno
Terry Gilliam,Johnny Depp,Ellen Barkin,Ellen Barkin,Adventure Comedy Drama,fear and loathing in las vegas
Ricky Gervais,Jennifer Garner,Martin Starr,Martin Starr,Comedy Fantasy Romance,the invention of lying
Nicholas Stoller,Craig Roberts,Ike Barinholtz,Ike Barinholtz,Comedy,neighbors
Chuck Russell,Peter Greene,Reg E. Cathey,Reg E. Cathey,Action Comedy Crime Fantasy,the mask
Penny Marshall,Tom Hanks,John Heard,John Heard,Comedy Drama Family Fantasy Romance,big
Larry Charles,Luenell,Chester,Chester,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan
Robert Luketic,Linda Cardellini,Alanna Ubach,Alanna Ubach,Comedy Romance,legally blonde
Leonard Nimoy,Leonard Nimoy,Walter Koenig,Walter Koenig,Action Adventure Sci-Fi,star trek iii: the search for spock
Scott Derrickson,Tom Wilkinson,JR Bourne,JR Bourne,Drama Horror Thriller,the exorcism of emily rose
Mike Mitchell,Amy Poehler,Bree Turner,Bree Turner,Comedy Romance,deuce bigalow: male gigolo
Vic Armstrong,Nicolas Cage,Quinton Aaron,Quinton Aaron,Action Drama Fantasy Mystery Thriller,left behind
Thomas Bezucha,Craig T. Nelson,Tyrone Giordano,Tyrone Giordano,Comedy Drama Romance,the family stone
Kevin Rodney Sullivan,Harry Lennix,Kenan Thompson,Kenan Thompson,Comedy Drama,barbershop 2: back in business
Terry Zwigoff,Bernie Mac,Alex Borstein,Alex Borstein,Comedy Crime Drama,bad santa
Jay Roach,Will Ferrell,Robert Wagner,Robert Wagner,Comedy Crime,austin powers: international man of mystery
Kirk Jones,Nia Vardalos,Joey Fatone,Joey Fatone,Comedy Family Romance,my big fat greek wedding 2
David Bowers,Zachary Gordon,Fran Kranz,Fran Kranz,Comedy Family,diary of a wimpy kid: rodrick rules
John McTiernan,Shane Black,Carl Weathers,Carl Weathers,Action Horror Sci-Fi,predator
Milos Forman,Jeffrey Jones,Tom Hulce,Tom Hulce,Biography Drama History Music,amadeus
Nelson McCormick,Ming-Na Wen,Collins Pennie,Collins Pennie,Horror Mystery,prom night
Mark Waters,Tina Fey,Neil Flynn,Neil Flynn,Comedy,mean girls
Audrey Wells,Raoul Bova,Mario Monicelli,Mario Monicelli,Comedy Drama Romance,under the tuscan sun
Robert Altman,Kristin Scott Thomas,Tom Hollander,Tom Hollander,Drama Mystery,gosford park
unknown,Peter Gallagher,Tate Donovan,Tate Donovan,Comedy Drama Romance,the o.c.            
Francis Ford Coppola,Nicolas Cage,Joan Allen,Joan Allen,Comedy Drama Fantasy Romance,peggy sue got married
Alejandro G. Iñárritu,Emma Stone,Merritt Wever,Merritt Wever,Comedy Drama Romance,birdman or (the unexpected virtue of ignorance)
Woody Allen,Sally Hawkins,Andrew Dice Clay,Andrew Dice Clay,Drama,blue jasmine
Paul Greengrass,Christian Clemenson,Susan Blommaert,Susan Blommaert,Drama History Thriller,united 93
Bille Woodruff,Christian Monzon,Romeo Miller,Romeo Miller,Drama Music Romance,honey
Edward Zwick,Denzel Washington,Matthew Broderick,Matthew Broderick,Drama History War,glory
Rick Friedberg,Hulk Hogan,Nicollette Sheridan,Nicollette Sheridan,Action Comedy,spy hard
John Carpenter,Jamie Lee Curtis,Janet Leigh,Janet Leigh,Fantasy Horror,the fog
Sean McNamara,Dennis Quaid,Craig T. Nelson,Craig T. Nelson,Biography Drama Family Sport,soul surfer
Mike Nichols,Bob Newhart,Martin Balsam,Martin Balsam,Comedy Drama War,catch-22
Jody Hill,Collette Wolfe,Dan Bakkedahl,Dan Bakkedahl,Comedy Crime Drama,observe and report
Richard Fleischer,Mako,Grace Jones,Grace Jones,Action Adventure Fantasy,conan the destroyer
Martin Scorsese,Robert De Niro,Frank Vincent,Frank Vincent,Biography Drama Sport,raging bull
Brandon Camp,Judy Greer,Frances Conroy,Frances Conroy,Drama Romance,love happens
Barry Levinson,Nicholas Rowe,Freddie Jones,Freddie Jones,Adventure Fantasy Mystery Thriller,young sherlock holmes
Kevin Tancharoen,Kelsey Grammer,Megan Mullally,Megan Mullally,Comedy Drama Musical Romance,fame
Danny Boyle,James Franco,Kate Burton,Kate Burton,Adventure Biography Drama Thriller,127 hours
Woody Allen,Woody Allen,Michael Rapaport,Michael Rapaport,Comedy Crime,small time crooks
Nicholas Hytner,Amanda Schull,Ethan Stiefel,Ethan Stiefel,Drama Music Romance,center stage
Jessie Nelson,Olivia Wilde,Timothée Chalamet,Timothée Chalamet,Comedy,love the coopers
Bart Freundlich,Kristen Stewart,Kevin G. Schmidt,Kevin G. Schmidt,Comedy Crime,catch that kid
Irwin Winkler,Ian Somerhalder,Kristin Scott Thomas,Kristin Scott Thomas,Drama,life as a house
Danny Boyle,Kate Winslet,Michael Stuhlbarg,Michael Stuhlbarg,Biography Drama,steve jobs
Chris Columbus,Alan Ruck,Shawn Roberts,Shawn Roberts,Comedy Romance,"i love you, beth cooper"
Miguel Arteta,Steve Buscemi,Fred Willard,Fred Willard,Comedy Drama Romance,youth in revolt
William A. Fraker,Jason Robards,Michael Horse,Michael Horse,Action Adventure Western,the legend of the lone ranger
John Boorman,Daniel Radcliffe,Mark Margolis,Mark Margolis,Drama Thriller,the tailor of panama
Brian De Palma,Nancy Allen,John McMartin,John McMartin,Mystery Thriller,blow out
Courtney Solomon,Rebecca Budig,Bruce Payne,Bruce Payne,Action Crime Thriller,getaway
Ang Lee,Joan Allen,Henry Czerny,Henry Czerny,Drama,the ice storm
Rob Reiner,Yaya DaCosta,Frankie Valli,Frankie Valli,Comedy Drama Romance,and so it goes
Jeff Kanew,Craig T. Nelson,Kellie Martin,Kellie Martin,Adventure Comedy,troop beverly hills
István Szabó,Miriam Margolyes,Juliet Stevenson,Juliet Stevenson,Comedy Drama Romance,being julia
Adrian Lyne,David Margulies,Kim Chan,Kim Chan,Drama Romance,9½ weeks
Matthew Robbins,Ian McDiarmid,Albert Salmi,Albert Salmi,Action Adventure Fantasy,dragonslayer
Michael Hoffman,David Masterson,Anne-Marie Duff,Anne-Marie Duff,Biography Drama Romance,the last station
Tim Burton,Johnny Depp,Martin Landau,Martin Landau,Biography Comedy Drama,ed wood
Jason Reitman,J.K. Simmons,Brooke Smith,Brooke Smith,Drama,labor day
Sergey Bodrov,Tadanobu Asano,Honglei Sun,Honglei Sun,Adventure Biography Drama History War,mongol: the rise of genghis khan
Guy Ritchie,Tom Hardy,Tom Wilkinson,Tom Wilkinson,Action Crime Thriller,rocknrolla
Hal Needham,Barry Bostwick,Henry Silva,Henry Silva,Action Sci-Fi,megaforce
Kenneth Branagh,Julie Christie,Richard Briers,Richard Briers,Drama,hamlet
Bruce Beresford,Bruce Greenwood,Aden Young,Aden Young,Biography Drama Music Romance,mao's last dancer
Jeff Nichols,Kirsten Dunst,Paul Sparks,Paul Sparks,Adventure Drama Sci-Fi Thriller,midnight special
Woody Allen,Woody Allen,Fisher Stevens,Fisher Stevens,Comedy Romance,anything else
Jonathan Teplitzky,Jeremy Irvine,Sam Reid,Sam Reid,Biography Drama Romance War,the railway man
unknown,Poppy Montgomery,Dallas Roberts,Dallas Roberts,Drama Mystery,unforgettable            
Michael Haneke,Ulrich Tukur,Leonie Benesch,Leonie Benesch,Drama Mystery,the white ribbon
Zack Ward,Zack Ward,James Cullen Bressack,James Cullen Bressack,Horror,restoration
Mike Marvin,Clint Howard,Nick Cassavetes,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller,the wraith
D.J. Caruso,Adam Goldberg,Anthony LaPaglia,Anthony LaPaglia,Crime Drama Mystery Thriller,the salton sea
Nimród Antal,James Hetfield,Lars Ulrich,Lars Ulrich,Music,metallica through the never
Gregor Jordan,Austin Nichols,Lou Taylor Pucci,Lou Taylor Pucci,Crime Drama Thriller,the informers
unknown,Edgar Ramírez,Katharina Schüttler,Katharina Schüttler,Biography Crime Drama Thriller,carlos            
Tran Anh Hung,Takuya Kimura,Shawn Yue,Shawn Yue,Thriller,i come with the rain
Lance Hool,Tom Berenger,Mark Moses,Mark Moses,Action Drama History Romance War Western,one man's hero
George A. Romero,Greg Nicotero,Joseph Pilato,Joseph Pilato,Horror,day of the dead
Chuck Russell,Sam Trammell,Amanda Schull,Amanda Schull,Action Crime Drama Thriller,i am wrath
Christian Volckman,Romola Garai,Kevork Malikyan,Kevork Malikyan,Action Animation Sci-Fi Thriller,renaissance
Jon Cassar,Demi Moore,Michael Wincott,Michael Wincott,Drama Western,forsaken
Richard Fleischer,Ernie Reyes Jr.,Sandahl Bergman,Sandahl Bergman,Action Adventure Fantasy,red sonja
Rodrigo Cortés,Robert De Niro,Craig Roberts,Craig Roberts,Drama Horror Mystery Thriller,red lights
Greg Mottola,Emma Stone,Kevin Corrigan,Kevin Corrigan,Comedy,superbad
Tyler Perry,Vanessa Ferlito,Derek Luke,Derek Luke,Comedy Crime Drama,madea goes to jail
David Hayter,Jason Momoa,Stephen McHattie,Stephen McHattie,Action Horror,wolves
Jon M. Chu,Cassie Ventura,Luis Rosado,Luis Rosado,Drama Music Musical Romance,step up 2: the streets
Cory Edwards,Anne Hathaway,Jim Belushi,Jim Belushi,Action Animation Comedy Crime Family,hoodwinked!
Terry George,Don Cheadle,Hakeem Kae-Kazim,Hakeem Kae-Kazim,Drama History War,hotel rwanda
Xavier Gens,Henry Ian Cusick,Ulrich Thomsen,Ulrich Thomsen,Action Crime Drama Thriller,hitman
Kasi Lemmons,Jennifer Hudson,Vondie Curtis-Hall,Vondie Curtis-Hall,Drama Family Music Musical,black nativity
Brian A Miller,Bruce Willis,Jessica Lowndes,Jessica Lowndes,Action Thriller,the prince
Matt Dillon,Kirk Fox,Rob Campbell,Rob Campbell,Crime Drama Thriller,city of ghosts
Alejandro Amenábar,Fionnula Flanagan,Eric Sykes,Eric Sykes,Fantasy Horror Thriller,the others
James Cameron,Michael Biehn,Jenette Goldstein,Jenette Goldstein,Action Adventure Sci-Fi,aliens
George Cukor,Jeremy Brett,Theodore Bikel,Theodore Bikel,Drama Family Musical Romance,my fair lady
Jim Gillespie,Muse Watson,Anne Heche,Anne Heche,Horror Mystery Thriller,i know what you did last summer
Luke Greenfield,Rob Riggle,James D'Arcy,James D'Arcy,Comedy,let's be cops
Alexander Payne,Virginia Madsen,M.C. Gainey,M.C. Gainey,Adventure Comedy Drama Romance,sideways
Jay Chandrasekhar,Chris Moss,Jay Chandrasekhar,Jay Chandrasekhar,Comedy,beerfest
John Carpenter,Jamie Lee Curtis,P.J. Soles,P.J. Soles,Horror Thriller,halloween
Yimou Zhang,Jet Li,Maggie Cheung,Maggie Cheung,Action Adventure History,hero
John Hoffman,Liam Aiken,Kevin Nealon,Kevin Nealon,Comedy Drama Family Fantasy Sci-Fi,good boy!
Malcolm D. Lee,Harold Perrineau,Eddie Cibrian,Eddie Cibrian,Comedy Drama,the best man holiday
Joe Carnahan,Ryan Reynolds,Alex Rocco,Alex Rocco,Action Crime Drama Thriller,smokin' aces
Kevin Greutert,Costas Mandylor,Betsy Russell,Betsy Russell,Horror Mystery,saw 3d: the final chapter
Michael Lehmann,Emmanuelle Vaugier,Paulo Costanzo,Paulo Costanzo,Comedy Romance,40 days and 40 nights
Joseph Kosinski,Jeff Bridges,James Frain,James Frain,Action Adventure Sci-Fi,tron: legacy
John Fortenberry,Will Ferrell,Dan Hedaya,Dan Hedaya,Comedy Music Romance,a night at the roxbury
Daniel Barnz,Alex Pettyfer,Erik Knudsen,Erik Knudsen,Drama Fantasy Romance,beastly
Alexandre Aja,Dan Byrd,Vinessa Shaw,Vinessa Shaw,Horror,the hills have eyes
Sam Weisman,Kevin Grevioux,Mary McCormack,Mary McCormack,Comedy,dickie roberts: former child star
Niki Caro,Morgan Saylor,Diana Maria Riva,Diana Maria Riva,Biography Drama Sport,"mcfarland, usa"
Erik White,Brandon T. Jackson,Shad Moss,Shad Moss,Comedy,lottery ticket
Chris Robinson,T.I.,Malika,Malika,Comedy Crime Drama Music Romance,atl
Jason Moore,Anna Kendrick,Ben Platt,Ben Platt,Comedy Music Romance,pitch perfect
Michael Tollin,Marc Blucas,Bruce Davison,Bruce Davison,Comedy Drama Romance Sport,summer catch
Sam Raimi,Gary Cole,Chelcie Ross,Chelcie Ross,Crime Drama Thriller,a simple plan
Robert Harmon,Alexander Gould,Marc Blucas,Marc Blucas,Horror Mystery Thriller,they
Trent Cooper,Thomas F. Wilson,Megyn Price,Megyn Price,Comedy Romance,larry the cable guy: health inspector
Gary Halvorson,Vanessa Williams,Caroll Spinney,Caroll Spinney,Adventure Comedy Family Fantasy Musical,the adventures of elmo in grouchland
Antoine Fuqua,Don Cheadle,Armando Riesco,Armando Riesco,Crime Drama Thriller,brooklyn's finest
Nicholas Ray,Ava Gardner,John Ireland,John Ireland,Action Adventure Drama History War,55 days at peking
Fede Alvarez,Lou Taylor Pucci,Ellen Sandweiss,Ellen Sandweiss,Horror,evil dead
Donald Petrie,Nia Vardalos,Rachel Dratch,Rachel Dratch,Comedy Romance,my life in ruins
Paul Weitz,Judy Greer,Chris Klein,Chris Klein,Comedy Music,american dreamz
Sidney J. Furie,Jim Broadbent,William Hootkins,William Hootkins,Action Adventure Family Sci-Fi,superman iv: the quest for peace
Ian Iqbal Rashid,DeRay Davis,Conrad Coates,Conrad Coates,Drama,how she move
Wayne Kramer,Paul Walker,Ivana Milicevic,Ivana Milicevic,Action Crime Drama Thriller,running scared
Rowdy Herrington,Aidan Quinn,Paul Freeman,Paul Freeman,Biography Drama Romance Sport,bobby jones: stroke of genius
Jim Goddard,Victor Wong,Clyde Kusatsu,Clyde Kusatsu,Adventure Crime Drama Romance,shanghai surprise
Neil Burger,Rufus Sewell,Jake Wood,Jake Wood,Drama Mystery Romance Thriller,the illusionist
Noel Marshall,Tippi Hedren,Zakes Mokae,Zakes Mokae,Adventure Horror Thriller,roar
Joel Schumacher,Brenda Fricker,Gerard McSorley,Gerard McSorley,Biography Crime Drama Thriller,veronica guerin
Andrea Di Stefano,Josh Hutcherson,Carlos Bardem,Carlos Bardem,Crime Drama Romance Thriller,escobar: paradise lost
Richard Kelly,Janeane Garofalo,Chris Andrew Ciulla,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,southland tales
Guillaume Ivernel,Rob Paulsen,Mary Mouser,Mary Mouser,Adventure Animation Family Fantasy,dragon hunters
Jack Smight,George Peppard,Paul Winfield,Paul Winfield,Sci-Fi,damnation alley
Todd Lincoln,Julianna Guill,Tim Williams,Tim Williams,Horror Thriller,the apparition
Howard Zieff,Macaulay Culkin,Griffin Dunne,Griffin Dunne,Comedy Drama Family Romance,my girl
Steven Shainberg,Robert Downey Jr.,Matt Servitto,Matt Servitto,Biography Drama Romance,fur: an imaginary portrait of diane arbus
Neil Burger,Rufus Sewell,Jake Wood,Jake Wood,Drama Mystery Romance Thriller,the illusionist
Oliver Stone,Hal Holbrook,James Karen,James Karen,Crime Drama,wall street
Ang Lee,Alan Rickman,Tom Wilkinson,Tom Wilkinson,Drama Romance,sense and sensibility
Julian Jarrold,Anne Hathaway,Laurence Fox,Laurence Fox,Biography Drama Romance,becoming jane
Joe Nussbaum,Danny Strong,Samm Levine,Samm Levine,Comedy Romance,sydney white
Vadim Perelman,Frances Fisher,Ron Eldard,Ron Eldard,Drama,house of sand and fog
Peter Weir,Robin Williams,Kurtwood Smith,Kurtwood Smith,Comedy Drama,dead poets society
Peter Farrelly,Lauren Holly,Teri Garr,Teri Garr,Comedy,dumb & dumber
Rob Reiner,Bruno Kirby,Harley Jane Kozak,Harley Jane Kozak,Comedy Drama Romance,when harry met sally...
Sidney Lumet,Charlotte Rampling,Jack Warden,Jack Warden,Drama,the verdict
Todd Phillips,Ethan Suplee,Paulo Costanzo,Paulo Costanzo,Comedy,road trip
Brian Robbins,Paul Walker,Mark Walters,Mark Walters,Comedy Drama Romance Sport,varsity blues
Michel Hazanavicius,Bérénice Bejo,Beth Grant,Beth Grant,Comedy Drama Romance,the artist
David S. Goyer,Gary Oldman,Rachel Brosnahan,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller,the unborn
Wes Anderson,Bruce Willis,Bob Balaban,Bob Balaban,Adventure Comedy Drama Romance,moonrise kingdom
Jonathan Liebesman,Matt Bomer,Lew Temple,Lew Temple,Horror,the texas chainsaw massacre: the beginning
Cyrus Nowrasteh,Clive Russell,Finn Ireland,Finn Ireland,Drama,the young messiah
Perry Andelin Blake,Jennifer Esposito,James Brolin,James Brolin,Comedy Family,the master of disguise
Guillermo del Toro,Ivana Baquero,Sergi López,Sergi López,Drama Fantasy War,pan's labyrinth
unknown,Joel Courtney,Riley Smith,Riley Smith,Drama Fantasy Mystery Thriller,the messengers            
John Whitesell,Leslie Bibb,Paul Sorvino,Paul Sorvino,Action Comedy Crime Family,see spot run
John Singleton,Mo'Nique,Angell Conwell,Angell Conwell,Crime Drama Romance Thriller,baby boy
Christian E. Christiansen,Leighton Meester,Frances Fisher,Frances Fisher,Drama Horror Thriller,the roommate
Dennie Gordon,Brittany Daniel,Fred Ward,Fred Ward,Adventure Comedy Drama,joe dirt
Sheldon Lettich,Bolo Yeung,Kamel Krifa,Kamel Krifa,Action Crime,double impact
Edgar Wright,Bill Bailey,Billie Whitelaw,Billie Whitelaw,Action Comedy Mystery,hot fuzz
Diane English,Jada Pinkett Smith,Debra Messing,Debra Messing,Comedy Drama,the women
Woody Allen,Scarlett Johansson,Christopher Evan Welch,Christopher Evan Welch,Drama Romance,vicky cristina barcelona
Peter Flinth,Gustaf Skarsgård,Vincent Perez,Vincent Perez,Action Adventure Drama Romance War,arn: the knight templar
Jon Lucas,Mila Kunis,Jada Pinkett Smith,Jada Pinkett Smith,Comedy,bad moms
Robert Iscove,Alyson Hannigan,Tsianina Joelson,Tsianina Joelson,Comedy Drama Romance,boys and girls
Peter Kosminsky,Patrick Fugit,Marc Donato,Marc Donato,Drama,white oleander
Karyn Kusama,J.K. Simmons,Cynthia Stevenson,Cynthia Stevenson,Comedy Fantasy Horror,jennifer's body
Nick Gomez,Will Ferrell,Tracey Walter,Tracey Walter,Comedy Crime Mystery,drowning mona
Woody Allen,Mike Starr,Julie Kavner,Julie Kavner,Comedy,radio days
Vic Armstrong,Nicolas Cage,Quinton Aaron,Quinton Aaron,Action Drama Fantasy Mystery Thriller,left behind
Allen Coulter,Robert Pattinson,Ruby Jerins,Ruby Jerins,Drama Romance,remember me
Clare Kilner,Dylan Baker,Trent Ford,Trent Ford,Comedy Drama Romance,how to deal
Richard Benjamin,Jon Lovitz,Tony Jay,Tony Jay,Comedy Romance Sci-Fi,my stepmother is an alien
Jonathan Demme,Denzel Washington,Jason Robards,Jason Robards,Drama,philadelphia
Josef Rusnak,Gretchen Mol,Brad William Henke,Brad William Henke,Mystery Sci-Fi Thriller,the thirteenth floor
Lance Rivera,Farrah Fawcett,Jenifer Lewis,Jenifer Lewis,Comedy,the cookout
Ronald Neame,Martin Landau,Brian Keith,Brian Keith,Action Drama Sci-Fi Thriller,meteor
Bruce Paltrow,Lochlyn Munro,Huey Lewis,Huey Lewis,Comedy Drama Music,duets
Woody Allen,Woody Allen,Treat Williams,Treat Williams,Comedy Romance,hollywood ending
Adam Rifkin,Natasha Lyonne,Shannon Tweed,Shannon Tweed,Comedy Music,detroit rock city
Russell Mulcahy,Christopher Lambert,Celia Imrie,Celia Imrie,Action Adventure Fantasy,highlander
Susanne Bier,Alison Lohman,Robin Weigert,Robin Weigert,Drama,things we lost in the fire
Kenneth Johnson,Charles Napier,Hill Harper,Hill Harper,Action Crime Sci-Fi,steel
James Gray,Jeremy Renner,Angela Sarafyan,Angela Sarafyan,Drama Romance,the immigrant
James Ivory,Vanessa Redgrave,Lynn Redgrave,Lynn Redgrave,Drama History Romance War,the white countess
Danny Boyle,Rosario Dawson,Tuppence Middleton,Tuppence Middleton,Crime Drama Mystery Thriller,trance
Jessy Terrero,Mo'Nique,Tom Arnold,Tom Arnold,Comedy,soul plane
Dany Boon,Dany Boon,Michel Galabru,Michel Galabru,Comedy Romance,welcome to the sticks
Vicente Amorim,Viggo Mortensen,Steven Mackintosh,Steven Mackintosh,Drama Romance War,good
Gaspar Noé,Paz de la Huerta,Olly Alexander,Olly Alexander,Drama Fantasy,enter the void
Amy Heckerling,Taylor Negron,Ivan Sergei,Ivan Sergei,Comedy Horror Romance,vamps
Lasse Hallström,Cary-Hiroyuki Tagawa,Joan Allen,Joan Allen,Drama Family,hachi: a dog's tale
Jérôme Salle,Orlando Bloom,Conrad Kemp,Conrad Kemp,Crime Drama Thriller,zulu
Tommy Lee Jones,Barry Corbin,Miranda Otto,Miranda Otto,Drama Western,the homesman
Jesse Vaughan,Vivica A. Fox,Kevin Pollak,Kevin Pollak,Comedy Drama Romance Sport,juwanna mann
unknown,Steven Van Zandt,Tommy Karlsen,Tommy Karlsen,Comedy Crime Drama,lilyhammer            
Atom Egoyan,David Alpay,Charles Aznavour,Charles Aznavour,Drama War,ararat
William Bindley,Bruce Dern,William Shockley,William Shockley,Drama Sport,madison
Wayne Beach,Mekhi Phifer,Fisher Stevens,Fisher Stevens,Drama Mystery Thriller,slow burn
Gérard Krawczyk,Carole Bouquet,Michel Muller,Michel Muller,Action Comedy Crime Drama Thriller,wasabi
James Gunn,Dustin Milligan,Tania Saulnier,Tania Saulnier,Comedy Horror Sci-Fi,slither
Martin Brest,Judge Reinhold,James Russo,James Russo,Action Comedy Crime,beverly hills cop
Chris Columbus,Macaulay Culkin,Catherine O'Hara,Catherine O'Hara,Comedy Family,home alone
Leonard Nimoy,Tom Selleck,Steve Guttenberg,Steve Guttenberg,Comedy Drama Family,3 men and a baby
Sydney Pollack,Bill Murray,Teri Garr,Teri Garr,Comedy Drama Romance,tootsie
Tony Scott,Tom Cruise,Adrian Pasdar,Adrian Pasdar,Action Drama Romance,top gun
Ang Lee,Chen Chang,Sihung Lung,Sihung Lung,Action Drama Romance,"crouching tiger, hidden dragon"
Sam Mendes,Kevin Spacey,Ara Celi,Ara Celi,Drama,american beauty
Tom Hooper,Colin Firth,Derek Jacobi,Derek Jacobi,Biography Drama History Romance,the king's speech
Ivan Reitman,Kelly Preston,Hugh O'Brian,Hugh O'Brian,Comedy Crime,twins
unknown,Bex Taylor-Klaus,Jason Wiles,Jason Wiles,Crime Drama Horror Mystery Thriller,scream: the tv series            
Udayan Prasad,Kristen Stewart,William Hurt,William Hurt,Drama Romance,the yellow handkerchief
Steven Spielberg,Oprah Winfrey,Dana Ivey,Dana Ivey,Drama,the color purple
JK Youn,Nicole Dionne,Kyung-gu Sol,Kyung-gu Sol,Action Comedy Drama Thriller,tidal wave
Timur Bekmambetov,Morgan Freeman,Moises Arias,Moises Arias,Adventure Drama History,ben-hur
Morten Tyldum,Benedict Cumberbatch,Allen Leech,Allen Leech,Biography Drama Thriller War,the imitation game
Howard Zieff,Eileen Brennan,Alan Oppenheimer,Alan Oppenheimer,Comedy War,private benjamin
Michael Apted,Sissy Spacek,Levon Helm,Levon Helm,Biography Drama Music Musical,coal miner's daughter
Thor Freudenthal,Chloë Grace Moretz,Rachael Harris,Rachael Harris,Comedy Family,diary of a wimpy kid
Andrés Muschietti,Javier Botet,Isabelle Nélisse,Isabelle Nélisse,Fantasy Horror,mama
John Carpenter,Jamie Lee Curtis,P.J. Soles,P.J. Soles,Horror Thriller,halloween
Harold Ramis,Beverly D'Angelo,Jane Krakowski,Jane Krakowski,Adventure Comedy,national lampoon's vacation
Jeff Tremaine,Jackson Nicoll,Grasie Mercedes,Grasie Mercedes,Comedy,bad grandpa
Stephen Frears,Roger Allam,Alex Jennings,Alex Jennings,Biography Drama,the queen
Tim Burton,Catherine O'Hara,Glenn Shadix,Glenn Shadix,Comedy Fantasy,beetlejuice
Tyler Perry,Michael Jai White,Lamman Rucker,Lamman Rucker,Comedy Drama,why did i get married?
Gillian Armstrong,Christian Bale,Eric Stoltz,Eric Stoltz,Drama Family Romance,little women
James Watkins,Daniel Radcliffe,Jessica Raine,Jessica Raine,Drama Fantasy Horror Thriller,the woman in black
Simon West,Madeline Carroll,Brian Geraghty,Brian Geraghty,Horror Thriller,when a stranger calls
Shawn Levy,Frankie Muniz,Lee Majors,Lee Majors,Adventure Comedy Family,big fat liar
Michael Cimino,Robert De Niro,John Savage,John Savage,Drama War,the deer hunter
Barry Levinson,Robert De Niro,John Michael Higgins,John Michael Higgins,Comedy Drama,wag the dog
Jim Fall,Clayton Snyder,Alex Borstein,Alex Borstein,Adventure Comedy Family Music Romance,the lizzie mcguire movie
Ric Roman Waugh,Dwayne Johnson,Nadine Velazquez,Nadine Velazquez,Action Drama Thriller,snitch
Michael Dougherty,Adam Scott,Allison Tolman,Allison Tolman,Comedy Fantasy Horror,krampus
Robert Rodriguez,Jordana Brewster,Clea DuVall,Clea DuVall,Horror Mystery Sci-Fi,the faculty
Brian Gibson,Rae'Ven Kelly,Dororthy Thorton,Dororthy Thorton,Biography Drama Music,what's love got to do with it
James Mangold,Robert De Niro,Janeane Garofalo,Janeane Garofalo,Crime Drama Thriller,cop land
Joel Gallen,Chris Evans,Mia Kirshner,Mia Kirshner,Comedy,not another teen movie
David Ayer,Jake Gyllenhaal,America Ferrera,America Ferrera,Crime Drama Thriller,end of watch
Cameron Crowe,Emma Stone,Bill Murray,Bill Murray,Comedy Drama Romance,aloha
Rob Cohen,Paul Walker,William Petersen,William Petersen,Action Crime Drama Thriller,the skulls
James Marsh,Eddie Redmayne,Simon McBurney,Simon McBurney,Biography Drama Romance,the theory of everything
John Whitesell,Greg Grunberg,Blair Underwood,Blair Underwood,Comedy Crime,malibu's most wanted
Matt Williams,Natalie Portman,Stockard Channing,Stockard Channing,Comedy Drama Romance,where the heart is
